mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	classification	ago	magpsf	sigmapsf	fid
ZTF18aavqmxr	ORPHAN	58586.46085650008	20.4687	0.314999	1
ZTF18aavqmxr	ORPHAN	58586.49936340004	17.1428	0.148293	2
ZTF18aavqmxr	ORPHAN	58587.50905090012	17.2177	0.145464	2
ZTF18aavqmxr	ORPHAN	58588.44870370021	17.1052	0.054507	2
ZTF18aavqmxr	ORPHAN	58588.44870370021	17.0985	0.032449	2
ZTF18aavqmxr	ORPHAN	58591.4780323999	16.7818	0.10543	2
ZTF18aavqmxr	ORPHAN	58592.40168979997	16.7193	0.078298	2
ZTF18aavqmxr	ORPHAN	58593.44230319979	16.6181	0.075312	2
ZTF18aavqmxr	ORPHAN	58597.456770800054	16.4105	0.089521	2
ZTF18aavqmxr	ORPHAN	58598.38104170002	16.2799	0.093505	2
ZTF18aavqmxr	ORPHAN	58605.44391199993	16.1748	0.068591	2
ZTF18aavqmxr	ORPHAN	58605.49774309993	19.5383	0.241465	1
ZTF18aavqmxr	ORPHAN	58606.374768500216	16.1652	0.075299	2
ZTF18aavqmxr	ORPHAN	58606.4759837999	19.5412	0.127095	1
ZTF18aavqmxr	ORPHAN	58607.38664350007	16.1755	0.054837	2
ZTF18aavqmxr	ORPHAN	58608.44995369995	19.7143	0.142338	1
ZTF18aavqmxr	ORPHAN	58608.478148099966	16.3592	0.065516	2
ZTF18aavqmxr	ORPHAN	58616.42068290012	16.6786	0.0914668	2
ZTF18aavqmxr	ORPHAN	58617.45856480021	20.0387	0.188699	1
ZTF18aavqmxr	ORPHAN	58617.48339120019	16.8158	0.0822479	2
ZTF18aavqmxr	ORPHAN	58619.418854199816	16.9077	0.103604	2
ZTF18aavqmxr	ORPHAN	58628.40186339989	17.298	0.222699	2
ZTF18aavqmxr	ORPHAN	58628.40186339989	17.3776	0.0385548	2
ZTF18aavqmxr	ORPHAN	58632.461655099876	17.2779	0.133346	2
ZTF18aavqmxr	ORPHAN	58633.4235069002	17.1813	0.104667	2
ZTF18aavqmxr	ORPHAN	58634.42138889991	17.3799	0.269045	2
ZTF18aavqmxr	ORPHAN	58636.40506940009	17.1401	0.140734	2
ZTF18aavqmxr	ORPHAN	58637.42133100005	17.1999	0.158463	2
ZTF18aavqmxr	ORPHAN	58638.46232639998	17.005	0.0874047	2
ZTF18aavqmxr	ORPHAN	58639.40327550005	16.8982	0.0992984	2
ZTF18aavqmxr	ORPHAN	58640.372546299826	20.1412	0.231165	1
ZTF18aavqmxr	ORPHAN	58641.461608800106	16.8528	0.113803	2
ZTF18aavqmxr	ORPHAN	58642.40155090019	19.9706	0.170985	1
ZTF18aavqmxr	ORPHAN	58643.42428239994	19.8781	0.150758	1
ZTF18aavqmxr	ORPHAN	58643.461412000004	16.6064	0.0590643	2
ZTF18aavqmxr	ORPHAN	58644.462858799845	16.4557	0.093463	2
ZTF18aavqmxr	ORPHAN	58645.42047449993	19.5012	0.16864	1
ZTF18aavqmxr	ORPHAN	58646.405497699976	19.5512	0.139686	1
ZTF18aavqmxr	ORPHAN	58647.37706020009	19.4916	0.130559	1
ZTF18aavqmxr	ORPHAN	58648.475879599806	16.0822	0.0606584	2
ZTF18aavqmxr	ORPHAN	58649.2964583002	16.0227	0.0578103	2
ZTF18aavqmxr	ORPHAN	58649.37954859994	19.1382	0.172472	1
ZTF18aavqmxr	ORPHAN	58650.33826390002	15.9627	0.0855145	2
ZTF18aavqmxr	ORPHAN	58651.422349500004	15.9916	0.0785268	2
ZTF18aavqmxr	ORPHAN	58651.442592599895	19.0614	0.18998	1
ZTF18aavqmxr	ORPHAN	58652.33684029989	15.8773	0.087267	2
ZTF18aavqmxr	ORPHAN	58653.42045139987	15.9364	0.0414678	2
ZTF18aavqmxr	ORPHAN	58654.31244210014	18.9597	0.115235	1
ZTF18aavqmxr	ORPHAN	58654.397187499795	15.7955	0.0685134	2
ZTF18aavqmxr	ORPHAN	58655.295023099985	18.9472	0.153245	1
ZTF18aavqmxr	ORPHAN	58657.40005790023	15.7626	0.0595346	2
ZTF18aavqmxr	ORPHAN	58658.38252309989	15.8592	0.0704815	2
