mysql: [Warning] Using a password on the command line interface can be insecure.
objectId	mjd	fid	magpsf	mjdmin	mjdmax	maggmin	maggmax	magrmin	magrmax	latestrmag	sherlock_classification	ramean	decmean	ncand
ZTF19acsveoi	2458803.7958912	2	18.0685	2458803.7958912	2458803.797419	NULL	NULL	18.0506	18.1463	18.0506	ORPHAN	49.67518906666667	29.4309283	3
ZTF19acsveoi	2458803.7969213	2	18.1463	2458803.7958912	2458803.797419	NULL	NULL	18.0506	18.1463	18.0506	ORPHAN	49.67518906666667	29.4309283	3
ZTF19acsuzjp	2458803.797419	2	19.5271	2458803.7958912	2458803.797419	NULL	NULL	19.5271	19.8549	19.5271	ORPHAN	49.878181633333334	22.866295133333335	3
ZTF19acsveoi	2458803.797419	2	18.0506	2458803.7958912	2458803.797419	NULL	NULL	18.0506	18.1463	18.0506	ORPHAN	49.67518906666667	29.4309283	3
ZTF19acsvvbq	2458803.8250347	2	19.1208	2458803.8236111	2458803.8250347	NULL	NULL	18.9524	19.3332	19.1208	ORPHAN	67.00943763333333	30.340491166666666	3
ZTF19acsvuay	2458803.8250347	2	19.1928	2458803.8236111	2458803.8250347	NULL	NULL	19.1928	19.2347	19.1928	ORPHAN	66.4064357	32.2278672	3
ZTF19acsvuax	2458803.8250347	2	18.7708	2458803.8236111	2458803.8250347	NULL	NULL	18.7247	18.7737	18.7708	ORPHAN	66.42550113333334	32.114196066666665	3
ZTF19acthhji	2458805.6912731	1	18.6461	2458805.6912731	2458805.6926389	18.6461	18.7226	NULL	NULL	NULL	ORPHAN	42.38961363333333	23.741755033333334	3
ZTF19acthhvo	2458805.6912731	1	18.7792	2458805.6912731	2458805.6926389	18.7792	18.9087	NULL	NULL	NULL	ORPHAN	42.218098966666666	22.541327733333333	3
ZTF19acttkxu	2458806.6945023	1	18.3577	2458806.6945023	2458806.6954167	18.2225	18.3636	NULL	NULL	NULL	ORPHAN	33.358427	15.419194266666667	3
ZTF19acttkxu	2458806.6949537	1	18.3636	2458806.6945023	2458806.6954167	18.2225	18.3636	NULL	NULL	NULL	ORPHAN	33.358427	15.419194266666667	3
ZTF19acttkxu	2458806.6954167	1	18.2225	2458806.6945023	2458806.6954167	18.2225	18.3636	NULL	NULL	NULL	ORPHAN	33.358427	15.419194266666667	3
ZTF19actujox	2458806.7443519	2	19.4507	2458806.7439005	2458806.7448148	NULL	NULL	19.4507	19.6027	19.5357	ORPHAN	42.201314466666666	24.5998895	3
ZTF19actujox	2458806.7448148	2	19.5357	2458806.7439005	2458806.7448148	NULL	NULL	19.4507	19.6027	19.5357	ORPHAN	42.201314466666666	24.5998895	3
ZTF19actujmw	2458806.7448148	2	16.5204	2458806.7439005	2458806.7448148	NULL	NULL	16.5204	16.5353	16.5204	ORPHAN	42.62664926666667	29.327318966666667	3
ZTF19actuhbk	2458806.7448148	2	19.8857	2458806.7439005	2458806.7448148	NULL	NULL	19.7294	19.8857	19.8857	ORPHAN	42.4040613	28.448930833333332	3
ZTF19actzntq	2458806.8445602	1	19.0586	2458806.8427199	2458806.8445602	18.9544	19.0586	NULL	NULL	NULL	ORPHAN	49.1479742	29.7136809	3
ZTF19acuahek	2458806.879294	1	16.9239	2458806.8783796	2458806.879294	16.8956	16.9239	NULL	NULL	NULL	ORPHAN	58.95020263333333	32.410903	3
ZTF19acwjxyg	2458819.6429977	2	16.3501	2458819.6429977	2458819.6482755	NULL	NULL	16.1165	16.3501	16.1174	ORPHAN	19.191448233333332	10.4102057	3
ZTF19acwjxyg	2458819.6473727	2	16.1165	2458819.6429977	2458819.6482755	NULL	NULL	16.1165	16.3501	16.1174	ORPHAN	19.191448233333332	10.4102057	3
ZTF19acwjxyg	2458819.6482755	2	16.1174	2458819.6429977	2458819.6482755	NULL	NULL	16.1165	16.3501	16.1174	ORPHAN	19.191448233333332	10.4102057	3
ZTF19acwxgrz	2458827.8039005	2	19.1789	2458820.7381713	2458827.8039005	17.903	18.2957	19.1789	19.1789	19.1789	ORPHAN	110.54880496666665	18.715196066666667	3
